"hub","highPrice","lowPrice","avgPrice","chg","volume","numberOfTrades"
"Algonquin Citygates",2.75,2.61,2.6713,0.8168,20000,5
"Col Gas TCO",2.875,2.805,2.8547,0.08,451100,83
"Dominion-North",1.9,1.6,1.8567,0.3478,65900,17
"Dominion-South",1.93,1.825,1.8786,0.3534,94300,34
"Iroquois (into)",3.2,3.08,3.1405,0.0795,68300,18
"Iroquois-Z2",3.25,3.09,3.1906,0.1073,45900,10
"Leidy-Transco",1.81,1.73,1.7776,0.3129,48000,15
"Millennium EP",1.68,1.5,1.641,0.205,36000,10
"PNGTS",3.6,3.5,3.55,0.2862,800,3
"REX E-ANR",2.84,2.79,2.82,0.0775,111400,16
"REX E-MidW",2.835,2.79,2.8133,0.0648,67800,8
"REX E-PEPL",2.84,2.83,2.8347,0.0447,19000,2
"TETCO-M2 (receipt)",1.89,1.82,1.8677,0.4368,228000,49
"TETCO-M3",2.05,1.98,2.0133,0.3991,139100,31
"TGP-Z4 Marcellus",1.64,1.55,1.5934,0.2248,36800,8
"TGP-Z4 Sta-219",2.01,1.985,1.9995,0.3469,69900,17
"TGP-Z4 Sta-313",1.95,1.9,1.9199,0.3107,40900,13
"TGP-Z5 200L",2.9,2.85,2.8582,0.9882,9100,3
"TGP-Z6 200L",3.25,2.8,2.9601,0.999,23800,6
"Transco-Z5 (non-WGL)",3.09,2.96,2.9907,0.1392,221600,38
"Transco-Z6 (non-NY north)",3.07,2.9575,2.9935,0.1763,210200,44
"Transco-Z6 (non-NY)",3,3,3,0.2,3400,1
"Transco-Z6 (NY)",3.13,2.98,3.027,0.1996,214900,41
"ANR-LA",2.81,2.7875,2.7998,0.0484,36000,9
"ANR-SE-T",2.81,2.7875,2.7998,0.0484,36000,9
"Atmos Zone 3",2.75,2.75,2.75,0.0517,5000,1
"Carthage",2.84,2.78,2.8045,0.0617,36000,8
"CG-Mainline",2.8775,2.77,2.8094,0.0745,462400,79
"CG-Onshore",2.835,2.815,2.8227,0.0738,134000,22
"ETC-Maypearl",2.73,2.73,2.73,0.2839,10000,1
"FGT-Z3",2.935,2.9,2.9188,0.0699,170100,32
"Henry",2.9,2.82,2.8463,0.0792,124400,24
"Houston Ship Channel",2.82,2.81,2.8199,0.0449,34000,7
"Katy",2.83,2.8,2.8196,0.0595,327500,37
"Katy-Lonestar Inter",2.83,2.815,2.8206,0.0653,62700,8
"Katy-Oasis",2.83,2.81,2.8197,0.0581,240800,24
"Moss Bluff Inter",2.84,2.84,2.84,0.0822,5000,1
"NGPL-STX",2.79,2.75,2.7828,0.078,31100,6
"Nortex-Tolar Hub",2.79,2.78,2.7867,0.0438,7500,2
"Pine Prairie",2.845,2.83,2.8396,0.0887,30700,6
"Sonat-T1",2.8675,2.83,2.8512,0.0609,251600,36
"TETCO-ELA",2.83,2.79,2.8115,0.0608,90400,16
"TETCO-ETX",2.765,2.72,2.7491,-0.0123,24300,7
"TETCO-M1 30",2.77,2.77,2.77,0.0639,8500,1
"TETCO-STX",2.795,2.76,2.777,0.019,101600,15
"TETCO-WLA",2.81,2.81,2.81,0.1076,2500,1
"TGP-500L",2.875,2.85,2.8556,0.0597,72700,17
"TGP-800L",2.83,2.79,2.8206,0.069,253700,38
"TGP-Z0",2.79,2.72,2.774,0.0728,124500,32
"TGT-Mainline",2.805,2.78,2.793,0.0522,151400,25
"TGT-North LA",2.77,2.77,2.77,0.11,5800,1
"TGT-SL",2.81,2.81,2.81,0.08,900,1
"Transco-30",2.81,2.81,2.81,0.06,5000,1
"Transco-45",2.85,2.84,2.8425,0.083,6700,4
"Transco-65",2.9,2.845,2.8722,0.0709,144700,35
"Transco-85",2.95,2.83,2.8948,0.0842,720500,114
"Tres Palacios (inj)",2.8,2.79,2.7963,0.1063,16000,3
"Trunkline-ELA",2.82,2.79,2.8122,0.0705,21700,5
"Trunkline-WLA",2.81,2.81,2.81,0.0703,100,1
"Trunkline-Z1A",2.815,2.795,2.8014,0.0572,46800,8
"Alliance Delivered",2.9,2.81,2.8556,0.0941,124200,18
