"hub1","hub2","priceAtHub1","priceAtHub2","spread","ratio"
"Algonquin Citygates","Col Gas TCO","2.6713","2.8547","-0.1834","0.935755070585351"
"Algonquin Citygates","Dominion-North","2.6713","1.8567","0.8146","1.43873539074702"
"Algonquin Citygates","Dominion-South","2.6713","1.8786","0.7927","1.42196316405834"
"Algonquin Citygates","Iroquois (into)","2.6713","3.1405","-0.4692","0.850597038688107"
"Algonquin Citygates","Iroquois-Z2","2.6713","3.1906","-0.5193","0.837240644392904"
"Algonquin Citygates","Leidy-Transco","2.6713","1.7776","0.8937","1.50275652565257"
"Algonquin Citygates","Millennium EP","2.6713","1.641","1.0303","1.62784887263863"
"Algonquin Citygates","PNGTS","2.6713","3.55","-0.8787","0.752478873239437"
"Algonquin Citygates","REX E-ANR","2.6713","2.82","-0.1487","0.947269503546099"
"Algonquin Citygates","REX E-MidW","2.6713","2.8133","-0.142","0.949525468311236"
"Algonquin Citygates","REX E-PEPL","2.6713","2.8347","-0.1634","0.942357215931139"
"Algonquin Citygates","TETCO-M2 (receipt)","2.6713","1.8677","0.8036","1.43026181935"
"Algonquin Citygates","TETCO-M3","2.6713","2.0133","0.658","1.32682660308946"
"Algonquin Citygates","TGP-Z4 Marcellus","2.6713","1.5934","1.0779","1.67647797163299"
"Algonquin Citygates","TGP-Z4 Sta-219","2.6713","1.9995","0.6718","1.335983995999"
"Algonquin Citygates","TGP-Z4 Sta-313","2.6713","1.9199","0.7514","1.39137455075785"
"Algonquin Citygates","TGP-Z5 200L","2.6713","2.8582","-0.1869","0.934609194597999"
"Algonquin Citygates","TGP-Z6 200L","2.6713","2.9601","-0.2888","0.902435728522685"
"Algonquin Citygates","Transco-Z5 (non-WGL)","2.6713","2.9907","-0.3194","0.893202260340389"
"Algonquin Citygates","Transco-Z6 (non-NY north)","2.6713","2.9935","-0.3222","0.892366794721897"
"Algonquin Citygates","Transco-Z6 (non-NY)","2.6713","3","-0.3287","0.890433333333333"
"Algonquin Citygates","Transco-Z6 (NY)","2.6713","3.027","-0.3557","0.882490915097456"
"Algonquin Citygates","ANR-LA","2.6713","2.7998","-0.1285","0.954103864561754"
"Algonquin Citygates","ANR-SE-T","2.6713","2.7998","-0.1285","0.954103864561754"
"Algonquin Citygates","Atmos Zone 3","2.6713","2.75","-0.0787","0.971381818181818"
"Algonquin Citygates","Carthage","2.6713","2.8045","-0.1332","0.95250490283473"
"Algonquin Citygates","CG-Mainline","2.6713","2.8094","-0.1381","0.950843596497473"
